conversation_id,in_reply_to_user_id,public_metrics,created_at,author_id,id,text
1466972775248281600,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2021-12-04T03:28:59.000Z,249876097,1466972775248281600,"A Globo tentou disfarçar a polêmica participação do Fiuk no Lady Night com vários cortes na entrevista… no fim o que foi ao ar tem duração de só 15min a menor do Lady Night, ou seja muita coisa ficou de fora."
1466972725398888455,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:28:47.000Z,104833433,1466972725398888455,"Fracassado em tudo ein? Péssimo atuando, cantando, apresentando, e Péssimo convidado de programa de entrevista de humor.  Fiuk por desista da vida de ""artista"", tu só eh famoso pq eh filho do Fabio Jr. https://t.co/iqtCMueBR9"
1466972675503497216,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:28:35.000Z,1176264956725084161,1466972675503497216,"fiuk inimigo do entretenimento, do riso e da felicidade"
1466972178079961090,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:26:36.000Z,1354746701697974276,1466972178079961090,"Fiuk é aquela pessoa que vc tenta ser engraçadinha, mas te corta e faz vc se sentir culpada por uma piada boba pelo resto do dia https://t.co/r0ZkiaVu9S"
1466972054486462471,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:26:07.000Z,2269904245,1466972054486462471,olhei  rápido e pensei q fosse o fiuk https://t.co/pW50PMKX0S
1466972015542345732,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:25:58.000Z,1416621771625750529,1466972015542345732,dá vontade de morrer quando esse fiuk abre a boca
1466878631289012232,62557485,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:25:16.000Z,253009281,1466971839020867586,@Tatawerneck Mas o Fiuk é mó otario
1466971715699986435,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:24:46.000Z,825816955236077572,1466971715699986435,Que preguiça do Fiuk no Lady Night em
1466971714831667211,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:24:46.000Z,175480432,1466971714831667211,"Fiuk é insuportável, não sei como isso ainda tem fãs."
1466878631289012232,1114737200455983104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2021-12-04T03:24:00.000Z,265587379,1466971522342526978,"@migueltortelli @Tatawerneck Fiuk não rendeu, tua massagem capilar é tema mais importante.
Usou o que por falar nisso?"
